query	grouping_confidence	location_confidence	orientation_confidence
qc1_1_200_+	1.0	1.0	1.0
qc2_1_200_+	1.0	1.0	1.0
qc3_1_200_+	1.0	1.0	1.0
qc4_1_200_+	1.0	1.0	1.0
qc5_1_200_+	1.0	1.0	1.0
qc6_1_200_+	1.0	1.0	1.0
qc7_1_200_+	1.0	1.0	1.0
qc8_1_200_+	1.0	1.0	1.0
qc9_1_200_+	1.0	1.0	1.0
qc10_1_200_+	1.0	1.0	1.0
qc11_1_200_+	1.0	1.0	1.0
qc12-rp_1_200_+	1.0	1.0	1.0
qc13-rp_1_200_+	1.0	1.0	1.0
qc14-rp_1_200_+	1.0	1.0	1.0
qc15-rp_1_200_+	1.0	1.0	1.0
qc16_1_87_+	1.0	1.0	1.0
qa1_1_200_+	1.0	1.0	1.0
qa2_1_200_+	1.0	1.0	1.0
qa3_1_200_+	1.0	1.0	1.0
qa4_1_200_+	1.0	1.0	1.0
qa5_1_200_+	1.0	1.0	1.0
qa6_1_200_+	1.0	1.0	1.0
qa7_1_200_+	1.0	1.0	1.0
qa8_1_200_+	1.0	1.0	1.0
qa9_1_200_+	1.0	1.0	1.0
qa10_1_200_+	1.0	1.0	1.0
qb11_1_200_+	1.0	1.0	1.0
qb12_1_200_+	1.0	1.0	1.0
qb13_1_200_+	1.0	1.0	1.0
qb14_1_200_+	1.0	1.0	1.0
qb15_1_200_+	1.0	1.0	1.0
qb16_1_200_+	1.0	1.0	1.0
qb17_1_200_+	1.0	1.0	1.0
qb18_1_200_+	1.0	1.0	1.0
qb19_1_200_+	1.0	1.0	1.0
qb20_1_200_+	1.0	1.0	1.0
qb21_1_200_+	1.0	1.0	1.0
qb22_1_200_+	1.0	1.0	1.0
qb23_1_200_+	1.0	1.0	1.0
qb24_1_200_+	1.0	1.0	1.0
qb25_1_200_+	1.0	1.0	1.0
qb26_1_200_+	1.0	1.0	1.0
qb27_1_141_+	1.0	1.0	1.0
